participant,condition,level,repetition,fa_main,rt_correct_key_s,rt_complete_s
P18,B,alpha,2,1.0,1.0545472939809164,1.0545472939809164
P18,B,alpha,3,0.9333333333333333,0.890771730740865,0.8609066094670977
P18,B,beta,1,1.0,1.0089088280995686,1.0089088280995686
P18,B,beta,2,0.9666666666666667,1.007135558128357,1.0078010230228818
P18,B,beta,3,1.0,0.9125245094299317,0.9125245094299317
P18,B,gamma,1,0.9666666666666667,1.067551056543986,1.0744447872556488
P18,B,gamma,2,0.9,0.8761772040663094,0.8650817694487395
P18,B,gamma,3,1.0,0.8313681761423747,0.8313681761423747
P18,C,alpha,1,1.0,0.6975366195042928,0.6975366195042928
P18,C,alpha,2,1.0,0.5357353448867798,0.5357353448867798
P18,C,alpha,3,0.9666666666666667,0.578946050008138,0.5707367042015339
P18,C,beta,1,0.9666666666666667,0.5962004741032918,0.6035494228889202
P18,C,beta,2,0.9666666666666667,0.6143573974740917,0.6143573974740917
P18,C,beta,3,1.0,0.6205663919448853,0.6205663919448853
P18,C,gamma,1,1.0,0.7189581314722697,0.7189581314722697
P18,C,gamma,2,1.0,0.6743103424708049,0.6743103424708049
P18,C,gamma,3,0.9666666666666667,0.7186789194742839,0.7251549260369663
P19,B,alpha,1,1.0,0.9938920100529989,0.9938920100529989
P19,B,alpha,2,0.9,0.7886393645714069,0.7893640641812925
P19,B,alpha,3,0.9666666666666667,0.8041745383163978,0.8041745383163978
P19,B,beta,1,1.0,0.8701738913853964,0.8701738913853964
P19,B,beta,2,0.8333333333333334,0.872118421963283,0.8635456848144532
P19,B,beta,3,0.8666666666666667,0.7930590340069362,0.7974080397532537
P19,B,gamma,1,1.0,0.9234021663665771,0.9234021663665771
P19,B,gamma,2,0.7,1.0443344910939534,1.0636976900554838
P19,B,gamma,3,0.8333333333333334,0.8992640495300293,0.8966896152496338
P19,C,alpha,1,1.0,0.7020095348358154,0.7020095348358154
P19,C,alpha,2,0.9666666666666667,0.6396562888704497,0.6396562888704497
P19,C,alpha,3,1.0,0.569081981976827,0.569081981976827
P19,C,beta,1,1.0,1.0431087334950766,1.0431087334950766
P19,C,beta,2,1.0,0.711730972925822,0.711730972925822
P19,C,beta,3,1.0,0.698610266049703,0.698610266049703
