participant,trial_index,level,a_occurrence,level_occurrence,n_target_events,n_resolved_responses,selection_coverage_pct,dominant_finger,dominant_share_pct,unique_fingers,effective_fingers,finger_switch_rate_pct,median_correct_key_rt_ms,key_accuracy_pct,n_effort_events,actual_key_travel_semitones,reference_key_travel_semitones,actual_finger_transition_steps,reference_finger_transition_steps,actual_hand_switch_pct,reference_hand_switch_pct
P10,23,beta,6,3,30,30,100.0,R2,60.0,4,2.458240776454302,62.06896551724138,364.8480176925659,100.0,30,2.5714285714285716,2.892857142857143,0.14285714285714285,1.2142857142857142,48.275862068965516,48.275862068965516
P10,24,gamma,7,3,30,29,96.66666666666667,R2,51.724137931034484,4,2.8833009528004303,67.85714285714286,456.7251205444336,96.66666666666667,29,4.37037037037037,5.37037037037037,0.25925925925925924,2.2222222222222223,60.71428571428571,60.71428571428571
P10,25,alpha,8,2,30,30,100.0,R2,70.0,3,2.0452375227779993,48.275862068965516,330.60240745544434,100.0,30,1.7142857142857142,1.3928571428571428,0.07142857142857142,1.0,44.827586206896555,34.48275862068966
P10,26,alpha,9,3,30,30,100.0,R2,46.666666666666664,5,2.881062758964273,55.172413793103445,337.52191066741943,100.0,30,1.8571428571428572,1.5357142857142858,0.21428571428571427,0.9642857142857143,41.37931034482759,27.586206896551722
P11,5,alpha,1,1,30,30,100.0,L2,40.0,4,3.6284662814129085,82.75862068965517,314.5310878753662,96.66666666666667,29,1.6296296296296295,1.4814814814814814,0.5555555555555556,0.9629629629629629,46.42857142857143,35.714285714285715
P11,12,beta,2,1,30,30,100.0,R2,46.666666666666664,5,3.7099926191843626,79.3103448275862,354.5609712600708,100.0,30,2.7142857142857144,2.9285714285714284,0.39285714285714285,1.2857142857142858,48.275862068965516,41.37931034482759
P11,13,gamma,3,1,30,30,100.0,L2,36.666666666666664,6,4.881940916312855,86.20689655172413,423.6454963684082,100.0,30,4.035714285714286,5.035714285714286,0.8214285714285714,2.25,58.620689655172406,51.724137931034484
P11,18,beta,4,2,30,30,100.0,R2,50.0,5,3.708841287195878,75.86206896551724,307.0976734161377,100.0,30,2.2142857142857144,2.25,0.6428571428571429,1.25,41.37931034482759,41.37931034482759
P11,19,gamma,5,2,30,30,100.0,R2,30.0,6,5.466198230691256,89.65517241379311,331.1588764190674,96.66666666666667,29,4.666666666666667,5.481481481481482,1.1481481481481481,2.259259259259259,67.85714285714286,57.14285714285714
P11,20,beta,6,3,30,30,100.0,R2,43.333333333333336,5,3.728859748440191,75.86206896551724,291.2064790725708,100.0,30,2.2142857142857144,2.2142857142857144,0.4642857142857143,1.5357142857142858,41.37931034482759,48.275862068965516
P11,22,alpha,7,2,30,30,100.0,R2,33.333333333333336,4,3.7066283794472814,86.20689655172413,305.25434017181396,100.0,30,2.107142857142857,1.1428571428571428,0.5714285714285714,1.0,44.827586206896555,34.48275862068966
P11,25,gamma,8,3,30,30,100.0,R2,50.0,5,3.2212925366566254,68.96551724137932,350.8949279785156,100.0,30,4.25,5.464285714285714,0.21428571428571427,2.1785714285714284,65.51724137931035,58.620689655172406
P11,26,alpha,9,3,30,30,100.0,R2,76.66666666666667,2,1.721632177609972,41.37931034482759,312.3490810394287,100.0,30,1.8571428571428572,1.2142857142857142,0.0,0.8571428571428571,41.37931034482759,31.03448275862069
P12,2,alpha,1,1,30,30,100.0,L2,46.666666666666664,4,3.1091145869022108,48.275862068965516,530.4934978485107,100.0,30,1.4642857142857142,1.4642857142857142,0.21428571428571427,0.9285714285714286,31.03448275862069,31.03448275862069
P12,8,gamma,2,1,30,30,100.0,L2,36.666666666666664,6,4.222637763992763,89.65517241379311,612.5540733337402,100.0,30,4.607142857142857,5.464285714285714,0.8571428571428571,2.2142857142857144,65.51724137931035,55.172413793103445
P12,11,gamma,3,2,30,30,100.0,L2,23.333333333333332,7,6.353925609152042,86.20689655172413,490.1920557022095,100.0,30,4.142857142857143,5.428571428571429,1.1785714285714286,2.0,37.93103448275862,58.620689655172406
P12,12,alpha,4,2,30,30,100.0,R2,36.666666666666664,5,4.1412018390689935,86.20689655172413,464.2065763473511,100.0,30,1.7857142857142858,1.3928571428571428,0.6071428571428571,1.0,44.827586206896555,34.48275862068966
P12,14,gamma,5,3,30,30,100.0,L2,33.333333333333336,8,5.900644663847771,86.20689655172413,503.8090944290161,100.0,30,5.142857142857143,5.642857142857143,1.1785714285714286,2.1785714285714284,58.620689655172406,55.172413793103445
P12,17,beta,6,1,30,30,100.0,R2,33.333333333333336,6,4.367741824776216,86.20689655172413,429.06200885772705,100.0,30,2.5,2.4642857142857144,0.6785714285714286,1.2142857142857142,41.37931034482759,48.275862068965516
P12,23,alpha,7,3,30,30,100.0,L2,33.333333333333336,4,3.544556677721428,82.75862068965517,395.28870582580566,96.66666666666667,29,1.9259259259259258,1.5555555555555556,0.5925925925925926,1.037037037037037,39.285714285714285,32.142857142857146
